ID,ProductName,Description,OriginalPrice,SalePrice,ImageURL,Category,Subcategory,Size,Brand,Stock,LinkRetailer,DealURL,StartDate,EndDate,discount%,Featured
www.thehockeyshop.com-J0032,Bauer Elite Seamless Senior Baselayer Shirt - (2021),Bauer Elite Seamless Senior Baselayer Shirt - (2021),119.99,101.98,https://cdn.shopify.com/s/files/1/0020/1585/4658/products/bauer-shirts-bauer-elite-seamless-senior-baselayer-shirt-grey-l-xl-29163185274946.jpg?v=1768083280,Accessories,Other,Senior,Bauer,In Stock,https://www.thehockeyshop.com/collections/hockey-deals-clearance,https://www.thehockeyshop.com/products/bauer-elite-seamless-senior-baselayer-shirt,2026-03-20,2026-04-03,15,
www.thehockeyshop.com-J0033,Bauer Everyday Hat - Chocolate,Bauer Everyday Hat - Chocolate,29.99,19.95,https://cdn.shopify.com/s/files/1/0020/1585/4658/files/hats-bauer-everyday-hat-chocolate-1221775837.gif?v=1771751650,Accessories,Other,,Bauer,In Stock,https://www.thehockeyshop.com/collections/hockey-deals-clearance,https://www.thehockeyshop.com/products/bauer-everyday-hat-chocolate,2026-03-20,2026-04-03,33,
www.thehockeyshop.com-J0034,Bauer Everyday Hat - Red,Bauer Everyday Hat - Red,29.99,19.95,https://cdn.shopify.com/s/files/1/0020/1585/4658/files/hats-bauer-everyday-hat-red-1221775851.gif?v=1771752098,Accessories,Other,,Bauer,In Stock,https://www.thehockeyshop.com/collections/hockey-deals-clearance,https://www.thehockeyshop.com/products/bauer-everyday-hat-red,2026-03-20,2026-04-03,33,
www.thehockeyshop.com-J0035,Bauer Everyday Hat - Royal,Bauer Everyday Hat - Royal,29.99,19.95,https://cdn.shopify.com/s/files/1/0020/1585/4658/files/hats-bauer-everyday-hat-royal-1221775849.gif?v=1771752038,Accessories,Other,,Bauer,In Stock,https://www.thehockeyshop.com/collections/hockey-deals-clearance,https://www.thehockeyshop.com/products/bauer-everyday-hat-royal,2026-03-20,2026-04-03,33,
www.thehockeyshop.com-J0036,Bauer Everyday Hat - Tan,Bauer Everyday Hat - Tan,29.99,19.95,https://cdn.shopify.com/s/files/1/0020/1585/4658/files/hats-bauer-everyday-hat-tan-1221775835.gif?v=1771751620,Accessories,Other,,Bauer,In Stock,https://www.thehockeyshop.com/collections/hockey-deals-clearance,https://www.thehockeyshop.com/products/bauer-everyday-hat-tan,2026-03-20,2026-04-03,33,
www.thehockeyshop.com-J0037,Bauer Everyday Shortsleeve Shirt - Chocolate,Bauer Everyday Shortsleeve Shirt - Chocolate,29.99,19.95,https://cdn.shopify.com/s/files/1/0020/1585/4658/files/shirts-bauer-everyday-shortsleeve-shirt-chocolate-1221775833.png?v=1771751530,Accessories,Other,,Bauer,In Stock,https://www.thehockeyshop.com/collections/hockey-deals-clearance,https://www.thehockeyshop.com/products/bauer-everyday-shortsleeve-shirt-chocolate,2026-03-20,2026-04-03,33,
www.thehockeyshop.com-J0038,Bauer Everyday Shortsleeve Shirt - Maroon,Bauer Everyday Shortsleeve Shirt - Maroon,29.99,19.95,https://cdn.shopify.com/s/files/1/0020/1585/4658/files/shirts-bauer-everyday-shortsleeve-shirt-maroon-1221775830.png?v=1771751498,Accessories,Other,,Bauer,In Stock,https://www.thehockeyshop.com/collections/hockey-deals-clearance,https://www.thehockeyshop.com/products/bauer-everyday-shortsleeve-shirt-maroon,2026-03-20,2026-04-03,33,
www.thehockeyshop.com-J0039,Bauer Everyday Shortsleeve Shirt - Red,Bauer Everyday Shortsleeve Shirt - Red,29.99,19.95,https://cdn.shopify.com/s/files/1/0020/1585/4658/files/shirts-bauer-everyday-shortsleeve-shirt-red-1221775827.png?v=1771751350,Accessories,Other,,Bauer,In Stock,https://www.thehockeyshop.com/collections/hockey-deals-clearance,https://www.thehockeyshop.com/products/bauer-everyday-shortsleeve-shirt-red,2026-03-20,2026-04-03,33,
www.thehockeyshop.com-J0040,Bauer Everyday Shortsleeve Shirt - Royal,Bauer Everyday Shortsleeve Shirt - Royal,29.99,19.95,https://cdn.shopify.com/s/files/1/0020/1585/4658/files/shirts-bauer-everyday-shortsleeve-shirt-royal-1221775821.png?v=1771751170,Accessories,Other,,Bauer,In Stock,https://www.thehockeyshop.com/collections/hockey-deals-clearance,https://www.thehockeyshop.com/products/bauer-everyday-shortsleeve-shirt-royal,2026-03-20,2026-04-03,33,
www.thehockeyshop.com-J0041,Bauer FLC Core Performance Polo - Grey,Bauer FLC Core Performance Polo - Grey,79.99,39.95,https://cdn.shopify.com/s/files/1/0020/1585/4658/files/shirts-bauer-flc-core-performance-polo-grey-1221790507.jpg?v=1772226851,Accessories,Other,,Bauer,In Stock,https://www.thehockeyshop.com/collections/hockey-deals-clearance,https://www.thehockeyshop.com/products/bauer-flc-core-performance-polo-grey,2026-03-20,2026-04-03,50,
www.thehockeyshop.com-J0043,Bauer Graphic Shortsleeve Shirt,Bauer Graphic Shortsleeve Shirt,39.99,27.97,https://cdn.shopify.com/s/files/1/0020/1585/4658/files/shirts-bauer-graphic-shortsleeve-shirt-1221774482.gif?v=1771716789,Accessories,Other,,Bauer,In Stock,https://www.thehockeyshop.com/collections/hockey-deals-clearance,https://www.thehockeyshop.com/products/bauer-graphic-shortsleeve-shirt,2026-03-20,2026-04-03,30,
www.thehockeyshop.com-J0044,Bauer GSX Intermediate Goalie Catcher (2023),Bauer GSX Intermediate Goalie Catcher (2023),219.99,186.98,https://cdn.shopify.com/s/files/1/0020/1585/4658/files/catchers-bauer-gsx-intermediate-goalie-catcher-2023-1221721770.jpg?v=1772648770,Goalie Gear,Catcher Glove,Intermediate,Bauer,In Stock,https://www.thehockeyshop.com/collections/hockey-deals-clearance,https://www.thehockeyshop.com/products/bauer-gsx-intermediate-catcher,2026-03-20,2026-04-03,15,
www.thehockeyshop.com-J0045,Bauer GSX Intermediate Goalie Blocker (2023),Bauer GSX Intermediate Goalie Blocker (2023),189.99,160.98,https://cdn.shopify.com/s/files/1/0020/1585/4658/files/bauer-blockers-bauer-gsx-intermediate-goalie-blocker-s23-white-full-right-30444772458562.jpg?v=1768102409,Goalie Gear,Blocker,Intermediate,Bauer,In Stock,https://www.thehockeyshop.com/collections/hockey-deals-clearance,https://www.thehockeyshop.com/products/bauer-gsx-intermediate-goalie-blocker-1,2026-03-20,2026-04-03,15,
www.thehockeyshop.com-J0046,Bauer GSX Intermediate Goalie Catcher (2023),Bauer GSX Intermediate Goalie Catcher (2023),219.99,186.98,https://cdn.shopify.com/s/files/1/0020/1585/4658/files/catchers-bauer-gsx-intermediate-goalie-catcher-2023-1221723966.jpg?v=1772719357,Goalie Gear,Catcher Glove,Intermediate,Bauer,In Stock,https://www.thehockeyshop.com/collections/hockey-deals-clearance,https://www.thehockeyshop.com/products/bauer-gsx-intermediate-goalie-catcher-1,2026-03-20,2026-04-03,15,
www.thehockeyshop.com-J0047,Bauer GSX Intermediate Goalie Leg Pads (2023),Bauer GSX Intermediate Goalie Leg Pads (2023),549.99,466.98,https://cdn.shopify.com/s/files/1/0020/1585/4658/files/leg-pads-bauer-gsx-intermediate-goalie-leg-pads-2023-1221724076.jpg?v=1772711650,Goalie Gear,Leg Pads,Intermediate,Bauer,In Stock,https://www.thehockeyshop.com/collections/hockey-deals-clearance,https://www.thehockeyshop.com/products/bauer-gsx-intermediate-goalie-leg-pads-1,2026-03-20,2026-04-03,15,
