run_id,scraped_at,import_source,external_key,source_store,source_url,source_product_id,title,price,sale_price,currency,in_stock,stock_text,image_url,description
20260320T135311Z,2026-03-20T13:59:08+00:00,scraped,scraped:thehockeyshop:www.thehockeyshop.com-J0473,thehockeyshop,https://www.thehockeyshop.com/products/ccm-speedblade-xsg1-black-goalie-steel,www.thehockeyshop.com-J0473,CCM SpeedBlade XSG1 Black Goalie Steel Runner - 2 Pack,129.99,99.98,CAD,true,In Stock,https://cdn.shopify.com/s/files/1/0020/1585/4658/products/goalie-skate-steel-ccm-speedblade-xsg1-black-goalie-steel-runner-2-pack-1221760399.jpg?v=1773811717,CCM SpeedBlade XSG1 Black Goalie Steel Runner - 2 Pack
20260320T135311Z,2026-03-20T13:59:08+00:00,scraped,scraped:thehockeyshop:www.thehockeyshop.com-J0474,thehockeyshop,https://www.thehockeyshop.com/products/ccm-speedblade-xsg1-goalie-steel,www.thehockeyshop.com-J0474,CCM SpeedBlade XSG1 Goalie Steel Runner - 2 Pack,100.00,69.97,CAD,true,In Stock,https://cdn.shopify.com/s/files/1/0020/1585/4658/products/goalie-skate-steel-ccm-speedblade-xsg1-goalie-steel-runner-2-pack-1221760400.jpg?v=1773811779,CCM SpeedBlade XSG1 Goalie Steel Runner - 2 Pack
20260320T135311Z,2026-03-20T13:59:08+00:00,scraped,scraped:thehockeyshop:www.thehockeyshop.com-J0475,thehockeyshop,https://www.thehockeyshop.com/products/ccm-straight-vr14-certified-visor,www.thehockeyshop.com-J0475,CCM VR14 Straight Certified Hockey Visor,59.99,54.99,CAD,true,In Stock,https://cdn.shopify.com/s/files/1/0020/1585/4658/products/visors-ccm-vr14-straight-certified-hockey-visor-1221757287.jpg?v=1773724897,CCM VR14 Straight Certified Hockey Visor
20260320T135311Z,2026-03-20T13:59:08+00:00,scraped,scraped:thehockeyshop:www.thehockeyshop.com-J0476,thehockeyshop,https://www.thehockeyshop.com/products/ccm-super-tacks-as570-junior-hockey-stick,www.thehockeyshop.com-J0476,CCM Super Tacks AS570 Junior Hockey Stick,119.99,59.90,CAD,true,In Stock,https://cdn.shopify.com/s/files/1/0020/1585/4658/products/hockey-sticks-ccm-super-tacks-as570-junior-hockey-stick-1221729342.jpg?v=1772878269,CCM Super Tacks AS570 Junior Hockey Stick
20260320T135311Z,2026-03-20T13:59:08+00:00,scraped,scraped:thehockeyshop:www.thehockeyshop.com-J0478,thehockeyshop,https://www.thehockeyshop.com/products/ccm-tacks-710-hockey-helmet,www.thehockeyshop.com-J0478,CCM Tacks 710 Hockey Helmet,219.99,109.90,CAD,true,In Stock,https://cdn.shopify.com/s/files/1/0020/1585/4658/files/ccm-helmets-ccm-tacks-710-hockey-helmet-black-s-30614455222338.jpg?v=1768005954,CCM Tacks 710 Hockey Helmet
20260320T135311Z,2026-03-20T13:59:08+00:00,scraped,scraped:thehockeyshop:www.thehockeyshop.com-J0479,thehockeyshop,https://www.thehockeyshop.com/products/ccm-tacks-720-hockey-helmet,www.thehockeyshop.com-J0479,CCM Tacks 720 Hockey Helmet,259.99,249.99,CAD,true,In Stock,https://cdn.shopify.com/s/files/1/0020/1585/4658/files/helmets-ccm-tacks-720-hockey-helmet-1221725446.jpg?v=1772760338,CCM Tacks 720 Hockey Helmet
20260320T135311Z,2026-03-20T13:59:08+00:00,scraped,scraped:thehockeyshop:www.thehockeyshop.com-J0480,thehockeyshop,https://www.thehockeyshop.com/products/ccm-tacks-as-v-pro-intermediate-hockey-skates,www.thehockeyshop.com-J0480,CCM Tacks AS-V Pro Intermediate Hockey Skates,1049.99,524.90,CAD,false,Unknown,https://cdn.shopify.com/s/files/1/0020/1585/4658/files/hockey-skates-ccm-tacks-as-v-pro-intermediate-hockey-skates-1221736505.jpg?v=1773098618,CCM Tacks AS-V Pro Intermediate Hockey Skates
20260320T135311Z,2026-03-20T13:59:08+00:00,scraped,scraped:thehockeyshop:www.thehockeyshop.com-J0481,thehockeyshop,https://www.thehockeyshop.com/products/ccm-tacks-as-v-pro-senior-hockey-skates,www.thehockeyshop.com-J0481,CCM Tacks AS-V Pro Senior Hockey Skates,1299.99,649.90,CAD,false,Unknown,https://cdn.shopify.com/s/files/1/0020/1585/4658/products/hockey-skates-ccm-tacks-as-v-pro-senior-hockey-skates-1221736577.jpg?v=1773087790,CCM Tacks AS-V Pro Senior Hockey Skates
20260320T135311Z,2026-03-20T13:59:08+00:00,scraped,scraped:thehockeyshop:www.thehockeyshop.com-J0482,thehockeyshop,https://www.thehockeyshop.com/products/ccm-tacks-as-v-senior-hockey-skates,www.thehockeyshop.com-J0482,CCM Tacks AS-V Senior Hockey Skates,869.99,434.90,CAD,false,Unknown,https://cdn.shopify.com/s/files/1/0020/1585/4658/files/hockey-skates-ccm-tacks-as-v-senior-hockey-skates-1221736440.jpg?v=1773097118,CCM Tacks AS-V Senior Hockey Skates
20260320T135311Z,2026-03-20T13:59:08+00:00,scraped,scraped:thehockeyshop:www.thehockeyshop.com-J0483,thehockeyshop,https://www.thehockeyshop.com/products/ccm-tacks-as580-junior-hockey-gloves,www.thehockeyshop.com-J0483,CCM Tacks AS580 Junior Hockey Gloves,119.99,59.90,CAD,true,In Stock,https://cdn.shopify.com/s/files/1/0020/1585/4658/products/gloves-ccm-tacks-as580-junior-hockey-gloves-1221735795.jpg?v=1773077438,CCM Tacks AS580 Junior Hockey Gloves
